profile,config_id,experiment,scenario,controller,seed,n,delay_bins,service_model,jobs,metric_status,metric_reason,mean_wait,mean_response,p95_wait,p99_wait,p95_response,mean_resource_fraction,server_time_resource_cost,scaling_actions,mean_absolute_target_change,overload_fraction,slo_violation_fraction
paper,paper,primary,high_volume,static,1733,100,1,empirical,720000,ok,,165.1654317026301,168.90476608522792,674.4807740385476,3515.585596006894,687.0838779898864,1.0,8640000.0,0,0.0,0.1215277777777777,0.250425
paper,paper,primary,high_volume,reactive,1733,100,1,empirical,720000,ok,,10997.98709117967,11001.726425562269,44442.34352611416,50295.37324128759,44443.47826691069,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.7859125
paper,paper,primary,high_volume,seasonal_mf_mpc,1733,100,1,empirical,720000,ok,,147879.4414443005,147883.18077868308,333458.7915395976,349238.7462941219,333460.7890953566,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7389305555555555
paper,paper,primary,high_volume,ewma_mf_mpc,1733,100,1,empirical,720000,ok,,5539.693748346644,5543.4330827292415,21115.952943624867,24213.543318491484,21117.865301164013,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.7744763888888889
paper,paper,primary,high_volume,gp_mean_mf_mpc,1733,100,1,empirical,720000,ok,,6867.331260648271,6871.070595030869,29146.083838992832,38599.479422663295,29148.91068045635,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5825152777777778
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1733,100,1,empirical,720000,ok,,420.26072527083306,424.00005965343104,2447.272804702004,7272.734293293906,2464.056905693839,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2878708333333333
paper,paper,primary,high_volume,oracle_mf_mpc,1733,100,1,empirical,720000,ok,,439.9158537952147,443.6551881778125,2496.805359579424,5861.340414529972,2506.089986539052,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3833097222222222
paper,paper,primary,high_volume,static,1729,100,1,empirical,720000,ok,,111.18315266199625,114.65495740934185,538.1597214864536,1925.9048465614464,551.0265853946087,1.0,8640000.0,0,0.0,0.1215277777777777,0.2379305555555555
paper,paper,primary,high_volume,reactive,1729,100,1,empirical,720000,ok,,8520.629446247505,8524.101250994849,32819.77603942137,41884.99895531614,32820.89646476024,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.8126611111111111
paper,paper,primary,high_volume,seasonal_mf_mpc,1729,100,1,empirical,720000,ok,,124417.34977211738,124420.8215768647,287551.0087600659,297677.2247443413,287552.0868846508,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7416111111111111
paper,paper,primary,high_volume,ewma_mf_mpc,1729,100,1,empirical,720000,ok,,2830.96162952584,2834.4334342731854,11907.55120053849,21260.30343868595,11910.52395821117,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.6520736111111111
paper,paper,primary,high_volume,gp_mean_mf_mpc,1729,100,1,empirical,720000,ok,,6709.136511262073,6712.608316009419,30830.86608178673,39609.60089219526,30834.8303500578,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5726111111111111
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1729,100,1,empirical,720000,ok,,322.58499903781654,326.05680378516206,1789.927005544983,5515.518073573281,1804.3894244630044,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2765875
paper,paper,primary,high_volume,oracle_mf_mpc,1729,100,1,empirical,720000,ok,,361.79229894645937,365.264103693805,1950.969143391586,5518.106704379452,1963.0325501079865,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3655513888888889
paper,paper,primary,high_volume,static,1730,100,1,empirical,720000,ok,,148.30000744812872,151.9400428412166,602.7903821695207,3509.3873752481545,616.1628220070799,1.0,8640000.0,0,0.0,0.1215277777777777,0.24845
paper,paper,primary,high_volume,reactive,1730,100,1,empirical,720000,ok,,8595.416597007777,8599.056632400865,28289.83920152056,36488.36435300457,28290.886533160072,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.8133152777777778
paper,paper,primary,high_volume,seasonal_mf_mpc,1730,100,1,empirical,720000,ok,,134109.5021581377,134113.1421935308,308612.3988170588,322757.6773605103,308613.0195955436,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7454902777777778
paper,paper,primary,high_volume,ewma_mf_mpc,1730,100,1,empirical,720000,ok,,2222.7333719135045,2226.3734073065925,10717.153267685291,17129.916658945087,10720.578409075177,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.6111597222222223
paper,paper,primary,high_volume,gp_mean_mf_mpc,1730,100,1,empirical,720000,ok,,7340.543724872617,7344.183760265702,33699.36635912608,46925.48059986333,33702.78206321942,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5754986111111111
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1730,100,1,empirical,720000,ok,,378.3538690044541,381.99390439754194,2364.481252102281,6591.548985071606,2382.120812928,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2848847222222222
paper,paper,primary,high_volume,oracle_mf_mpc,1730,100,1,empirical,720000,ok,,415.2929412954068,418.9329766884946,2255.3714516819286,6427.080018220635,2262.744388711153,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3813763888888888
paper,paper,primary,high_volume,static,1732,100,1,empirical,720000,ok,,156.1309386509831,159.83824543922222,649.522336948276,3615.091117338584,662.6418365773586,1.0,8640000.0,0,0.0,0.1215277777777777,0.2510180555555555
