experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
delay_sensitivity,bursty,gp_mean_mf_mpc,100,0,empirical,mean_wait,14407.299602625684,14499.378811756744,13168.885565173809,15698.790414750963,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,0,empirical,p95_wait,57656.62036364946,56954.09030464965,51885.591028535186,64225.85808657807,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,0,empirical,p99_wait,73304.13436464523,70381.5192218021,65733.75072156823,82542.3666560398,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,0,empirical,mean_response,14454.504476510663,14545.056701424928,13215.071075355077,15747.179751596512,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,0,empirical,p95_response,57708.493717923135,57024.597668229224,51927.2884232236,64271.17371132612,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,0,empirical,mean_resource_fraction,0.12722222222222218,0.1272222222222222,0.12722222222222218,0.12722222222222218,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,0,empirical,slo_violation_fraction,0.4875913892867825,0.4857159471459269,0.4788005623886961,0.49630005621447004,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,0,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,mean_wait,11946.273011096255,11554.875689261615,10704.949838287801,13374.017850625718,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,p95_wait,50882.05341795914,50053.26519370092,47212.96195936528,55162.629056124635,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,p99_wait,63266.75771059792,61972.386115144895,59010.88969630138,67748.22021593267,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,mean_response,11993.477884981237,11602.056226229615,10752.089968931796,13421.472094193892,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,p95_response,50934.645460274725,50111.25217553425,47275.322444971185,55209.489006802934,10,10
delay_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,mean_resource_fraction,0.1171875,0.1171875,0.1171875,0.1171875,10,10
