profile,n,rho,d,seed,l1_tail_error,max_tail_error,jobs_per_server_error
paper,25,0.5,1,1729,0.034079999999090546,0.009500000000000008,0.01919333333424289
paper,25,0.5,1,1730,0.029737473957423766,0.0072666666666666435,0.029520000000909485
paper,25,0.5,1,1731,0.024886666665757135,0.005326666666666646,0.024886666665757118
paper,25,0.5,1,1732,0.011066455077215511,0.00326666666666664,0.010666666667576319
paper,25,0.5,1,1733,0.009443644204819654,0.0033199999999999896,0.007586666667576125
paper,25,0.5,1,1734,0.032900455728257165,0.008139999999999994,0.032773333332423826
paper,25,0.5,1,1735,0.0037867578115904875,0.0013733333333333375,0.002519999999090583
paper,25,0.5,1,1736,0.02465656249909058,0.004853333333333376,0.02450666666757617
paper,25,0.5,1,1737,0.029572070311590502,0.006766666666666671,0.017393333332423766
paper,25,0.5,1,1738,0.018026666665757175,0.005933333333333346,0.006666666667576093
paper,25,0.5,2,1729,0.01874364955420297,0.009133333333333299,0.01874364862288047
paper,25,0.5,2,1730,0.01769698288753621,0.008679999999999966,0.01769698195621372
paper,25,0.5,2,1731,0.009570316220869672,0.005866666666666687,0.008176351377119695
paper,25,0.5,2,1732,0.008896982887536237,0.0040799999999999725,0.00889698195621369
paper,25,0.5,2,1733,0.013490316220869648,0.006886666666666652,0.013490315289547139
paper,25,0.5,2,1734,0.007103649554202977,0.004346666666666665,0.0032963513771195885
paper,25,0.5,2,1735,0.0020636495542029343,0.0009341666666666647,0.0010103152895470924
paper,25,0.5,2,1736,0.011436982887536291,0.0043600000000000305,0.011436981956213677
paper,25,0.5,2,1737,0.006218018043786293,0.004733333333333312,0.003669684710452925
paper,25,0.5,2,1738,0.015323649554202966,0.006366666666666632,0.015323648622880381
paper,25,0.7,1,1729,0.033637379998069976,0.006013333333333426,0.02024000000193027
paper,25,0.7,1,1730,0.09900474908049373,0.011926666666666724,0.09870000000193002
paper,25,0.7,1,1731,0.05071333333140251,0.004626940333333315,0.05071333333140293
paper,25,0.7,1,1732,0.029537208207273954,0.0030933333333333923,0.028833333335263944
paper,25,0.7,1,1733,0.05337528704447079,0.009486666666666754,0.04868666666859678
paper,25,0.7,1,1734,0.09027167479661813,0.015159999999999896,0.08009999999806983
paper,25,0.7,1,1735,0.06383030575862544,0.005800000000000083,0.06237333333526385
paper,25,0.7,1,1736,0.0540060069360701,0.008076666666666732,0.036813333335263376
paper,25,0.7,1,1737,0.0461265685636636,0.005259999999999931,0.045193333331403185
paper,25,0.7,1,1738,0.02340432964622059,0.0029756666666666265,0.004293333331403026
paper,25,0.7,2,1729,0.025409027792771877,0.0104123666666667,0.02540902744426865
paper,25,0.7,2,1730,0.037122361126105195,0.012852366666666698,0.03712236077760189
paper,25,0.7,2,1731,0.014855694459438257,0.008592366666666698,0.010962360777602154
paper,25,0.7,2,1732,0.02172236112610518,0.009799033333333373,0.021722360777602034
paper,25,0.7,2,1733,0.0343956944594385,0.013512366666666706,0.03439569411093557
paper,25,0.7,2,1734,0.028230961126104796,0.015006666666666557,0.02511763922239796
paper,25,0.7,2,1735,0.02460236112610515,0.00958570000000003,0.024602360777602028
paper,25,0.7,2,1736,0.0177423611261051,0.009032366666666708,0.017289027444268745
paper,25,0.7,2,1737,0.017502361126104902,0.006405700000000042,0.0030623607776019135
paper,25,0.7,2,1738,0.024289027792771863,0.012072366666666709,0.02428902744426864
paper,25,0.9,1,1729,0.22330406294501612,0.010152333333333319,0.07192666665835112
paper,25,0.9,1,1730,0.45461785846725195,0.02724822656666659,0.34577333334164884
paper,25,0.9,1,1731,0.27931546865835005,0.008481429969402758,0.261539999991685
paper,25,0.9,1,1732,0.7664641999916835,0.030335352218517492,0.6714799999916838
paper,25,0.9,1,1733,0.29931133332501697,0.009607924549610097,0.275239999991685
paper,25,0.9,1,1734,0.6723921452758584,0.03483382233333343,0.6434733333250193
paper,25,0.9,1,1735,0.7226423322316091,0.01748387201937552,0.7101666666749811
paper,25,0.9,1,1736,0.7306715749560357,0.021249766666666614,0.7211533333416487
paper,25,0.9,1,1737,0.7113462646002054,0.03885726275666673,0.5937933333250189
paper,25,0.9,1,1738,0.5803216555589773,0.0208755345720176,0.5768933333416495
paper,25,0.9,2,1729,0.12801502707517837,0.04290886790535092,0.12801502707517853
paper,25,0.9,2,1730,0.19451502707517843,0.0588955345720176,0.19451502707517854
paper,25,0.9,2,1731,0.1603083604085118,0.0517879575523054,0.16030836040851204
paper,25,0.9,2,1732,0.13519502707947245,0.04486886790535091,0.1351950270751785
paper,25,0.9,2,1733,0.10694169374184503,0.03898220123868426,0.10667502707517906
paper,25,0.9,2,1734,0.09400882707517881,0.027807957552305397,0.008441693741845668
paper,25,0.9,2,1735,0.21650836040851185,0.06625553457201758,0.21650836040851207
paper,25,0.9,2,1736,0.13702169374184509,0.04608886790535091,0.13702169374184558
paper,25,0.9,2,1737,0.08472882707517879,0.02882129088563872,0.024588360408511534
