profile,config_id,scenario,split,controller,alpha,seed,n,delay_bins,jobs,mean_resource_fraction,metric_status,metric_reason,p95_wait,p99_wait,selected_on_validation,weighted_event_approximation
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.01,1734,100,1,720000,0.9599652777777777,ok,,14816.922467559989,21344.106486550296,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.03,1734,100,1,720000,0.5995138888888889,ok,,107375.88408482741,124276.82926475257,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.1,1734,100,1,720000,0.5528472222222223,ok,,214713.47447248502,241107.84043719422,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.3,1734,100,1,720000,0.5305555555555556,ok,,294863.1902295324,331064.86280967115,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,1.0,1734,100,1,720000,0.5107638888888889,ok,,406401.15228118154,451569.8667421517,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,3.0,1734,100,1,720000,0.5013541666666667,ok,,428359.6950976629,472312.19184907957,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,100.0,1734,100,1,720000,0.4888888888888889,ok,,431799.6746734486,478021.9448962805,True,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.01,1734,100,1,720000,0.99375,ok,,11708.154217516274,17166.963270333315,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.03,1734,100,1,720000,0.9450347222222223,ok,,12067.28743418123,16887.60485927188,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.1,1734,100,1,720000,0.9097222222222223,ok,,12779.676689820162,18231.265882866443,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.3,1734,100,1,720000,0.8740277777777777,ok,,15212.779598200954,20648.785391194357,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,1.0,1734,100,1,720000,0.8298263888888888,ok,,16435.56606728098,21728.0643429315,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,3.0,1734,100,1,720000,0.7910416666666668,ok,,17088.688939355237,25097.688462410508,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,100.0,1734,100,1,720000,0.7237152777777777,ok,,17874.018302715274,27799.8864584283,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.01,1734,100,1,720000,0.9790972222222223,ok,,13035.314408794224,18683.4781889919,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.03,1734,100,1,720000,0.6382291666666666,ok,,39090.7613212346,49805.295026527354,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.07498942093324558,1734,100,1,720000,0.5040277777777777,ok,,56577.88083502722,65292.48396962209,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.1,1734,100,1,720000,0.47138888888888886,ok,,64840.078239109,79116.54269446294,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.3,1734,100,1,720000,0.3572222222222222,ok,,114096.02273568268,134903.1286632864,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,1.0,1734,100,1,720000,0.2604166666666667,ok,,171925.44921865143,193629.596940122,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,3.0,1734,100,1,720000,0.1948611111111111,ok,,301773.9378376945,330634.7143454798,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.01,1734,100,1,720000,0.99375,ok,,11708.154217516274,17166.963270333315,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.03,1734,100,1,720000,0.99375,ok,,11708.154217516274,17166.963270333315,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.1,1734,100,1,720000,0.99375,ok,,11708.154217516274,17166.963270333315,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.3,1734,100,1,720000,0.9927083333333333,ok,,11573.73356173626,17853.7499755926,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,1.0,1734,100,1,720000,0.9857291666666668,ok,,12126.232637549407,16889.846815169243,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,3.0,1734,100,1,720000,0.9784375,ok,,12364.17975984903,18030.502095159485,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,100.0,1734,100,1,720000,0.9638888888888889,ok,,14082.550169943344,19246.43321977461,True,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.01,1734,100,1,720000,0.9911805555555556,ok,,11840.328423109324,16819.270870345445,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.03,1734,100,1,720000,0.8315972222222223,ok,,15526.591960748641,20706.120947750187,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.1,1734,100,1,720000,0.8001736111111112,ok,,16378.034221062682,22119.911515544856,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.3,1734,100,1,720000,0.786875,ok,,17191.398872767266,25771.12103062648,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,1.0,1734,100,1,720000,0.7707986111111111,ok,,16018.177429332613,24278.446257903404,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,3.0,1734,100,1,720000,0.7549305555555555,ok,,16087.631971950124,22502.55433271671,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,100.0,1734,100,1,720000,0.7295138888888889,ok,,15452.555891141823,22666.506595234645,True,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.01,1733,100,1,720000,0.9599652777777777,ok,,16865.934761444656,23201.70661701282,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.03,1733,100,1,720000,0.5995138888888889,ok,,114527.45922775015,138908.10553684583,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.1,1733,100,1,720000,0.5528472222222223,ok,,227547.5096776298,251453.12003556755,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.3,1733,100,1,720000,0.5305555555555556,ok,,299129.892762832,328871.4709256791,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,1.0,1733,100,1,720000,0.5107638888888889,ok,,402595.128849312,445947.5287590637,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,3.0,1733,100,1,720000,0.5013541666666667,ok,,436469.99561590364,483949.5672384388,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,100.0,1733,100,1,720000,0.4888888888888889,ok,,454817.5341884737,502326.12670666183,True,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.01,1733,100,1,720000,0.99375,ok,,14088.5847010985,20978.685650902615,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.03,1733,100,1,720000,0.9450347222222223,ok,,13894.130486252374,19892.841950033966,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.1,1733,100,1,720000,0.9097222222222223,ok,,15633.423359966144,21066.549312585415,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.3,1733,100,1,720000,0.8740277777777777,ok,,17321.812090459633,23378.776164621864,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,1.0,1733,100,1,720000,0.8298263888888888,ok,,19240.6615181586,29881.216404797615,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,3.0,1733,100,1,720000,0.7910416666666668,ok,,21567.605323219104,27920.09568547879,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,100.0,1733,100,1,720000,0.7237152777777777,ok,,28713.728272668977,37711.815229355445,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.01,1733,100,1,720000,0.9790972222222223,ok,,14826.234166929205,20559.64115418713,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.03,1733,100,1,720000,0.6382291666666666,ok,,38958.22206258819,45580.43415039597,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.07498942093324558,1733,100,1,720000,0.5040277777777777,ok,,56225.61162586514,66224.64576889732,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.1,1733,100,1,720000,0.47138888888888886,ok,,67528.8584166679,85145.01026646163,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.3,1733,100,1,720000,0.3572222222222222,ok,,117205.30692435337,134650.54639793892,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,1.0,1733,100,1,720000,0.2604166666666667,ok,,170912.50952075433,198062.8037783063,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,3.0,1733,100,1,720000,0.1948611111111111,ok,,302871.93965370586,323913.6712912031,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.01,1733,100,1,720000,0.99375,ok,,14088.5847010985,20978.685650902615,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.03,1733,100,1,720000,0.99375,ok,,14088.5847010985,20978.685650902615,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.1,1733,100,1,720000,0.99375,ok,,14088.5847010985,20978.685650902615,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.3,1733,100,1,720000,0.9927083333333333,ok,,13310.797257706683,20688.818827311225,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,1.0,1733,100,1,720000,0.9857291666666668,ok,,14126.756191282244,21428.78117787624,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,3.0,1733,100,1,720000,0.9784375,ok,,14666.861132073896,21057.782179443955,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,100.0,1733,100,1,720000,0.9638888888888889,ok,,16025.82869196322,23976.292709256555,True,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.01,1733,100,1,720000,0.9911805555555556,ok,,13628.329903510532,20708.449338305585,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.03,1733,100,1,720000,0.8315972222222223,ok,,20819.588853019337,27681.137617801483,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.1,1733,100,1,720000,0.8001736111111112,ok,,26231.2544646784,37199.48853400699,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.3,1733,100,1,720000,0.786875,ok,,25750.73982206485,40769.20524635491,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,1.0,1733,100,1,720000,0.7707986111111111,ok,,19947.150621127505,32367.948399903733,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,3.0,1733,100,1,720000,0.7549305555555555,ok,,19918.235057036745,30143.080254023487,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,100.0,1733,100,1,720000,0.7295138888888889,ok,,20818.216734193164,33608.13402709421,True,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.01,1730,100,1,720000,0.9599652777777777,ok,,14809.823660443924,20670.111131772115,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.03,1730,100,1,720000,0.5995138888888889,ok,,104669.48743396872,116972.6905711193,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.1,1730,100,1,720000,0.5528472222222223,ok,,209396.75889479046,235989.68093832405,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.3,1730,100,1,720000,0.5305555555555556,ok,,290068.66116217163,323867.41793226724,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,1.0,1730,100,1,720000,0.5107638888888889,ok,,411274.3861629026,455121.97021281143,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,3.0,1730,100,1,720000,0.5013541666666667,ok,,423299.0647836952,467347.35876143805,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,100.0,1730,100,1,720000,0.4888888888888889,ok,,428428.32245542575,476216.72165548505,True,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.01,1730,100,1,720000,0.99375,ok,,10952.757090473651,17361.91259305293,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.03,1730,100,1,720000,0.9450347222222223,ok,,11416.092956958282,17760.422887751465,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.1,1730,100,1,720000,0.9097222222222223,ok,,11514.107329731014,18566.535945324154,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.3,1730,100,1,720000,0.8740277777777777,ok,,13584.496211566602,19045.455585777298,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,1.0,1730,100,1,720000,0.8298263888888888,ok,,15135.003893037134,19681.275901742254,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,3.0,1730,100,1,720000,0.7910416666666668,ok,,16209.230753906208,22214.253413499868,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,100.0,1730,100,1,720000,0.7237152777777777,ok,,18643.54992387845,28239.50395343603,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.01,1730,100,1,720000,0.9790972222222223,ok,,12200.22728860715,18956.95616247219,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.03,1730,100,1,720000,0.6382291666666666,ok,,35809.32408020318,42728.79472844355,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.07498942093324558,1730,100,1,720000,0.5040277777777777,ok,,53459.350703381286,59821.072878547624,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.1,1730,100,1,720000,0.47138888888888886,ok,,61992.69301980722,70312.27453062336,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.3,1730,100,1,720000,0.3572222222222222,ok,,109898.87737463924,125511.85272977689,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,1.0,1730,100,1,720000,0.2604166666666667,ok,,168538.45483963186,188754.53701418027,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,3.0,1730,100,1,720000,0.1948611111111111,ok,,294383.9899019466,325493.7639294576,False,True
